f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
6.710000000000000000e+02	1.184947531606027724e+03	5.125045427806837472e-02	4.325042936671932381e+01
6.720000000000000000e+02	1.182895814578330146e+03	5.116803928097231335e-02	4.310812641034855375e+01
6.740000000000000000e+02	1.178811399092015563e+03	5.100400160695904572e-02	4.282560535028991211e+01
6.760000000000000000e+02	1.174752139071172451e+03	5.084101192238886513e-02	4.254581178519242712e+01
6.780000000000000000e+02	1.170717794069820684e+03	5.067906021511110054e-02	4.226872106505789617e+01
6.800000000000000000e+02	1.166708126687615959e+03	5.051813660015078838e-02	4.199429196733183289e+01
6.810000000000000000e+02	1.164712473740947644e+03	5.043805727249366794e-02	4.185806666059404080e+01
6.830000000000000000e+02	1.160739384223390971e+03	5.027865753481255973e-02	4.158757061055734283e+01
6.850000000000000000e+02	1.156790391865146830e+03	5.012026172006287666e-02	4.131965774446868522e+01
6.870000000000000000e+02	1.152865269569156453e+03	4.996286037259732582e-02	4.105428885104263514e+01
6.890000000000000000e+02	1.148963793080234382e+03	4.980644415516950751e-02	4.079144191107238271e+01
6.900000000000000000e+02	1.147021852701217085e+03	4.972860258423965341e-02	4.066094605754951630e+01
6.920000000000000000e+02	1.143155430549724542e+03	4.957364680893089348e-02	4.040181778036782845e+01
6.940000000000000000e+02	1.139312105706195325e+03	4.941965332637127811e-02	4.014512777499761853e+01
6.960000000000000000e+02	1.135491663510931403e+03	4.926661319928914151e-02	3.989084119070896151e+01
