f	lambda_1	lambda_2
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (-2.031624126236006300e-01+1.800948145810684908e-01j)	 (-7.822397209945561869e-01+8.685949707257035746e-01j)
 (1.065000000000000000e+02+0.000000000000000000e+00j)	 (-2.110101526049851794e-01+1.898494676669720826e-01j)	 (-7.833337384974234929e-01+8.957944822999108769e-01j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (-2.136153079823923107e-01+1.931679213074222745e-01j)	 (-7.835654553348797569e-01+9.049217796660036228e-01j)
 (1.085000000000000000e+02+0.000000000000000000e+00j)	 (-2.213749061442255028e-01+2.032919058530915646e-01j)	 (-7.837996386093717405e-01+9.325583694835590798e-01j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (-2.290542443495977021e-01+2.136985759343039415e-01j)	 (-7.833820604087478046e-01+9.605001531311394558e-01j)
 (1.105000000000000000e+02+0.000000000000000000e+00j)	 (-2.315960498959972469e-01+2.172260893420372430e-01j)	 (-7.830809317013154303e-01+9.698859204027613368e-01j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (-2.391708930076431594e-01+2.280092717698978255e-01j)	 (-7.817359356277990834e-01+9.981740320433137859e-01j)
 (1.135000000000000000e+02+0.000000000000000000e+00j)	 (-2.466581722229737594e-01+2.390708695887432955e-01j)	 (-7.796392203877277050e-01+1.026718590100554218e+00j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (-2.491312172413547299e-01+2.428212861610319351e-01j)	 (-7.787790526125690782e-01+1.036287621641349244e+00j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (-2.589066242694152420e-01+2.581352374415438189e-01j)	 (-7.745444549215878549e-01+1.074773753480753324e+00j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)	 (-2.637278289229474382e-01+2.659913625843475238e-01j)	 (-7.719202155567068679e-01+1.094102633819273862e+00j)
 (1.175000000000000000e+02+0.000000000000000000e+00j)	 (-2.661214785266506344e-01+2.699563203714140935e-01j)	 (-7.704719957787302675e-01+1.103797033754010171e+00j)
